Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,CO2 Emissions(g/km),vehicle_key,demand_target,revenue_target
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,409,TWO-SEATER_Z_M6_performance,698,45998200.0
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,336,TWO-SEATER_Z_A7_xlarge,594,35402400.0
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,407,TWO-SEATER_Z_M6_xlarge,828,49348800.0
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,347,TWO-SEATER_Z_A7_performance,767,50545300.0
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,409,TWO-SEATER_Z_M6_performance,443,29193700.0
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,306,SUBCOMPACT_Z_A7_xlarge,2359,112288400.0
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,308,SUBCOMPACT_Z_A7_xlarge,2449,116572400.0
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,293,MID-SIZE_Z_AS8_xlarge,2686,125436200.0
AUDI,S4,COMPACT,3.0,6,A7,Z,262,COMPACT_Z_A7_large,3016,121846400.0
AUDI,S4,COMPACT,3.0,6,M6,Z,285,COMPACT_Z_M6_large,2945,118978000.0
AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,262,SUBCOMPACT_Z_A7_large,2905,117362000.0
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,285,SUBCOMPACT_Z_M6_large,2889,116715600.0
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,267,SUBCOMPACT_Z_A7_large,2664,107625600.0
AUDI,S6,MID-SIZE,4.0,8,A7,Z,281,MID-SIZE_Z_A7_xlarge,2504,116936800.0
AUDI,S7,MID-SIZE,4.0,8,A7,Z,281,MID-SIZE_Z_A7_xlarge,2274,106195800.0
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,300,MID-SIZE_Z_AS8_xlarge,2097,97929900.0
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,292,SUV - SMALL_Z_AS8_large,3041,122856400.0
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,209,SUBCOMPACT_Z_A6_medium,3813,130023300.0
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,209,TWO-SEATER_Z_A6_medium,1802,83072200.0
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,237,SUBCOMPACT_Z_A6_medium,3508,119622800.0
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,237,TWO-SEATER_Z_A6_medium,1797,82841700.0
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,314,SUBCOMPACT_Z_AS8_xlarge,2018,94240600.0
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,356,SUBCOMPACT_Z_AS8_performance,1462,86696600.0
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,332,SUBCOMPACT_Z_AS8_xlarge,2425,113247500.0
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Z,380,SUBCOMPACT_Z_AS8_performance,1177,69796100.0
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,380,SUBCOMPACT_Z_AS8_performance,1577,93516100.0
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,388,MID-SIZE_Z_AS8_performance,523,31013900.0
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,437,MID-SIZE_Z_AS8_performance,983,58291900.0
BMW,320i,COMPACT,2.0,4,A8,Z,193,COMPACT_Z_A8_medium,4133,140935300.0
BMW,320i,COMPACT,2.0,4,M6,Z,200,COMPACT_Z_M6_medium,3975,135547500.0
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Z,202,COMPACT_Z_A8_medium,4055,138275500.0
BMW,328d xDRIVE,COMPACT,2.0,4,A8,D,181,COMPACT_D_A8_medium,3995,132234500.0
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,D,181,STATION WAGON - SMALL_D_A8_medium,3502,115916200.0
BMW,328i,COMPACT,2.0,4,A8,Z,193,COMPACT_Z_A8_medium,4201,143254100.0
BMW,328i,COMPACT,2.0,4,M6,Z,200,COMPACT_Z_M6_medium,4419,150687900.0
BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,209,COMPACT_Z_A8_medium,3840,130944000.0
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Z,209,FULL-SIZE_Z_A8_medium,2610,120321000.0
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Z,209,STATION WAGON - SMALL_Z_A8_medium,3017,102879700.0
BMW,335i,COMPACT,3.0,6,A8,Z,221,COMPACT_Z_A8_large,3817,154206800.0
BMW,335i,COMPACT,3.0,6,M6,Z,230,COMPACT_Z_M6_large,3591,145076400.0
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,228,COMPACT_Z_A8_large,3394,137117600.0
BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,237,COMPACT_Z_M6_large,3575,144430000.0
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,232,FULL-SIZE_Z_A8_large,2497,130842800.0
BMW,428i COUPE,COMPACT,2.0,4,A8,Z,193,COMPACT_Z_A8_medium,4353,148437300.0
BMW,428i COUPE,COMPACT,2.0,4,M6,Z,200,COMPACT_Z_M6_medium,3874,132103400.0
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Z,209,COMPACT_Z_A8_medium,3888,132580800.0
BMW,435i COUPE,COMPACT,3.0,6,A8,Z,221,COMPACT_Z_A8_large,3490,140996000.0
BMW,435i COUPE,COMPACT,3.0,6,M6,Z,230,COMPACT_Z_M6_large,3143,126977200.0
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,228,COMPACT_Z_A8_large,3600,145440000.0
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,237,COMPACT_Z_M6_large,3512,141884800.0
BMW,528i,MID-SIZE,2.0,4,A8,Z,202,MID-SIZE_Z_A8_medium,3697,126067700.0
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,209,MID-SIZE_Z_A8_medium,3581,122112100.0
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,213,MID-SIZE_D_A8_large,3219,126828600.0
BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Z,232,MID-SIZE_Z_A8_large,3095,125038000.0
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,246,FULL-SIZE_Z_A8_large,2299,120467600.0
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,281,MID-SIZE_Z_A8_xlarge,2277,110434500.0
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,292,FULL-SIZE_Z_A8_xlarge,1805,109202500.0
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,232,COMPACT_Z_A8_large,3592,145116800.0
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,292,SUBCOMPACT_Z_A8_xlarge,2751,133423500.0
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,281,COMPACT_Z_A8_xlarge,2746,133181000.0
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,292,COMPACT_Z_A8_xlarge,2670,129495000.0
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,246,FULL-SIZE_Z_A8_large,2366,123978400.0
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,292,FULL-SIZE_Z_A8_xlarge,1366,82643000.0
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,292,FULL-SIZE_Z_A8_xlarge,1839,111259500.0
BMW,760Li,FULL-SIZE,6.0,12,A8,Z,356,FULL-SIZE_Z_A8_performance,1125,80212500.0
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,191,COMPACT_Z_A8_large,4469,180547600.0
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,214,MID-SIZE_Z_A8_large,3298,133239200.0
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,212,FULL-SIZE_Z_A8_large,2673,140065200.0
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,292,FULL-SIZE_Z_A8_xlarge,1837,111138500.0
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,292,FULL-SIZE_Z_A8_xlarge,1553,93956500.0
BMW,M5,MID-SIZE,4.4,8,AM7,Z,338,MID-SIZE_Z_AM7_xlarge,2302,111647000.0
BMW,M5,MID-SIZE,4.4,8,M6,Z,317,MID-SIZE_Z_M6_xlarge,2374,115139000.0
BMW,M6,COMPACT,4.4,8,AM7,Z,338,COMPACT_Z_AM7_xlarge,2397,116254500.0
BMW,M6,COMPACT,4.4,8,M6,Z,317,COMPACT_Z_M6_xlarge,2157,104614500.0
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,338,SUBCOMPACT_Z_AM7_xlarge,2275,110337500.0
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,317,SUBCOMPACT_Z_M6_xlarge,1736,84196000.0
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,338,COMPACT_Z_AM7_xlarge,2346,113781000.0
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,317,COMPACT_Z_M6_xlarge,2932,142202000.0
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,209,SUV - SMALL_Z_A8_medium,3557,121293700.0
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,260,SUV - SMALL_Z_A6_large,2967,119866800.0
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,230,SUV - SMALL_Z_A8_medium,3652,124533200.0
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,253,SUV - SMALL_Z_A8_large,3042,122896800.0
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,255,SUV - STANDARD_Z_A8_large,2215,116066000.0
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,320,SUV - STANDARD_Z_A8_xlarge,1884,113982000.0
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,370,SUV - STANDARD_Z_A6_xlarge,1252,75746000.0
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,274,SUV - STANDARD_Z_A8_large,2588,135611200.0
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,324,SUV - STANDARD_Z_A8_xlarge,1609,97344500.0
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Z,209,TWO-SEATER_Z_A8_medium,2207,101742700.0
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,200,TWO-SEATER_Z_M6_medium,1660,76526000.0
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,278,TWO-SEATER_Z_AM7_large,1333,69849200.0
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,253,TWO-SEATER_Z_M6_large,1718,90023200.0
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,278,TWO-SEATER_Z_AM7_large,1106,57954400.0
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,283,SUV - STANDARD_X_A6_xlarge,2571,132663600.0
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,290,SUV - STANDARD_X_A6_xlarge,2787,143809200.0
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,196,SUV - SMALL_X_AS6_small,3977,110958300.0
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,212,SUV - SMALL_X_AS6_small,4278,119356200.0
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,264,MID-SIZE_X_AS6_xlarge,3143,124462800.0
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,250,MID-SIZE_E_AS6_xlarge,2756,109137600.0
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,264,MID-SIZE_X_AS6_xlarge,2769,109652400.0
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,264,MID-SIZE_E_AS6_xlarge,2132,84427200.0
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,189,MID-SIZE_X_AS6_medium,4183,135529200.0
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,228,MID-SIZE_Z_AS6_medium,3560,121396000.0
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,225,MID-SIZE_Z_M6_medium,3572,121805200.0
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,246,MID-SIZE_Z_AS6_medium,3426,116826600.0
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,189,MID-SIZE_X_AS6_medium,3882,125776800.0
BUICK,VERANO,COMPACT,2.0,4,AS6,Z,228,COMPACT_Z_AS6_medium,3860,131626000.0
BUICK,VERANO,COMPACT,2.0,4,M6,Z,225,COMPACT_Z_M6_medium,3902,133058200.0
BUICK,VERANO,COMPACT,2.4,4,AS6,X,218,COMPACT_X_AS6_medium,3964,128433600.0
CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,221,COMPACT_Z_AS6_medium,4330,147653000.0
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,235,COMPACT_Z_M6_medium,3859,131591900.0
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,207,COMPACT_X_AS6_medium,3929,129067650.0
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,251,COMPACT_X_AS6_xlarge,3647,144421200.0
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,232,COMPACT_Z_AS6_medium,3523,120134300.0
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,260,COMPACT_X_AS6_xlarge,3593,142282800.0
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,258,MID-SIZE_X_AS6_xlarge,3420,135432000.0
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,262,MID-SIZE_X_AS6_xlarge,2890,114444000.0
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Z,232,MID-SIZE_Z_AS6_medium,3694,125965400.0
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,248,MID-SIZE_X_AS8_xlarge,3322,131551200.0
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Z,248,MID-SIZE_Z_AS6_medium,3529,120338900.0
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,260,MID-SIZE_X_AS6_xlarge,3587,142045200.0
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,294,MID-SIZE_Z_AS8_xlarge,2527,108913700.0
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,253,STATION WAGON - SMALL_X_AS6_large,2656,98006400.0
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,260,STATION WAGON - SMALL_X_AS6_xlarge,2466,97653600.0
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,X,255,STATION WAGON - SMALL_X_AS6_large,2625,96862500.0
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,262,STATION WAGON - SMALL_X_AS6_xlarge,2654,105098400.0
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,382,MID-SIZE_Z_AS6_performance,1417,80202200.0
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,340,MID-SIZE_Z_M6_performance,1741,98540600.0
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,382,MID-SIZE_Z_AS6_performance,1539,87107400.0
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,340,MID-SIZE_Z_M6_performance,1675,94805000.0
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,382,STATION WAGON - SMALL_Z_AS6_performance,1514,85692400.0
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,340,STATION WAGON - SMALL_Z_M6_performance,1378,77994800.0
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,338,SUV - STANDARD_Z_A6_performance,2138,146666800.0
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,322,SUV - STANDARD_E_A6_performance,1521,99017100.0
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,377,SUV - STANDARD_Z_A6_performance,971,66610600.0
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,354,SUV - STANDARD_E_A6_performance,903,58785300.0
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,283,SUV - STANDARD_X_AS6_xlarge,2634,135914400.0
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,294,SUV - STANDARD_X_AS6_xlarge,2374,122498400.0
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,262,FULL-SIZE_X_AS6_xlarge,2570,132612000.0
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,271,FULL-SIZE_X_AS6_xlarge,2449,126368400.0
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,290,FULL-SIZE_Z_AS6_xlarge,2007,110585700.0
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,258,COMPACT_X_AS6_xlarge,3204,126878400.0
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,269,COMPACT_X_M6_xlarge,2931,116067600.0
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,242,COMPACT_X_AS6_xlarge,3457,136897200.0
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,294,COMPACT_Z_AS6_performance,2444,138330400.0
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,292,COMPACT_Z_M6_performance,2301,130236600.0
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,382,COMPACT_Z_AS6_performance,1141,64580600.0
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,340,COMPACT_Z_M6_performance,1867,105672200.0
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,276,TWO-SEATER_Z_AS6_performance,1191,81702600.0
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,258,TWO-SEATER_Z_M7_performance,947,64964200.0
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,179,MID-SIZE_X_AS6_small,4377,122118300.0
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,179,MID-SIZE_X_M6_small,4353,121448700.0
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,202,MID-SIZE_X_AS6_medium,3771,111998700.0
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,189,MID-SIZE_X_M6_medium,4261,126551700.0
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,D,192,MID-SIZE_D_AS6_medium,4163,137795300.0
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,177,MID-SIZE_X_A6_small,4627,129093300.0
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,163,MID-SIZE_X_M6_small,4743,132329700.0
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,209,SUV - SMALL_X_A6_medium,3708,120139200.0
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,276,SUV - SMALL_X_A6_xlarge,2873,113770800.0
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,259,SUV - SMALL_E_A6_xlarge,2740,108504000.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,230,SUV - SMALL_X_A6_medium,3988,129211200.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,290,SUV - SMALL_X_A6_xlarge,3107,123037200.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,272,SUV - SMALL_E_A6_xlarge,3478,137728800.0
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,347,VAN - CARGO_X_A4_xlarge,1588,67887000.0
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,366,VAN - CARGO_X_A4_performance,1440,70632000.0
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,334,VAN - CARGO_E_A4_performance,1311,64304550.0
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,380,VAN - CARGO_X_A4_performance,1239,60772950.0
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,344,VAN - CARGO_E_A4_performance,948,46499400.0
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,380,VAN - CARGO_X_A4_performance,1265,62048250.0
